city,lat,lon,weather,temperature,id,overall_rank,availability,name,tag
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1069007,7.400000095367432,True,"The Originals City, Hôtel Otelinn, Caen",Zone Activité Nord-Ouest à Caen : hôtel en périphérie avec une piscine couverte et un restaurant
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1395716,7.400000095367432,True,Appart'City Classic Caen,"Appart'hôtel qui accepte les animaux de compagnie à Caen, en liaison directe avec un centre commercial
"
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1226690,7.599999904632568,True,"The Originals City, Hôtel Le Savoy, Caen","Hôtel 3 étoiles avec un bar/salon - Musée de Normandie à 2,5 km"
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1149998,7.199999809265137,True,Kyriad Caen Nord - Hérouville Saint Clair,Hôtel 3 étoiles à Hérouville-Saint-Clair avec un restaurant 
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1405450,7.599999904632568,True,Pierre & Vacances Residence Le Green Beach,Résidence de luxe à Port-en-Bessin-Huppain avec une piscine couverte 
Bayeux,49.2764624,-0.7024738,clear sky,26.14,91102429,,True,Comme chez soi - Deplacement Pro,Appartements en copropriété confortables à Mondeville avec cuisines 
Bayeux,49.2764624,-0.7024738,clear sky,26.14,1168255,8.600000381469727,True,Hôtel La Rosière,"Hôtel 3 étoiles avec un bar/salon - Cap Manvieux à 2,9 km"
Bayeux,49.2764624,-0.7024738,clear sky,26.14,3810,8.600000381469727,True,Novotel Caen Cote De Nacre,Hôtel 4 étoiles dans le quartier de La Pierre-Heuzé avec un restaurant et un bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,26.14,919888,8.399999618530273,True,ibis Caen Porte De Bretagne,Hôtel 3 étoiles avec un restaurant - Festyland à 2 km
Le Havre,49.4938975,0.1079732,clear sky,21.51,11700864,9.0,True,Nomad Hotel Le Havre,Hôtel 3 étoiles dans le quartier de Sainte Marie - Saint Leon avec un restaurant et un bar/salon
Le Havre,49.4938975,0.1079732,clear sky,21.51,26700602,7.400000095367432,True,B&B Hotel Le Havre Centre Gare,Hôtel 3 étoiles à Le Havre 
Le Havre,49.4938975,0.1079732,clear sky,21.51,1150056,6.800000190734863,True,Birgit Hotel Le Havre Centre,Hôtel 3 étoiles à Le Havre avec un restaurant et un bar/salon 
Le Havre,49.4938975,0.1079732,clear sky,21.51,4020500,7.800000190734863,True,Boutique Hotel d'Angleterre,Hôtel 3 étoiles dans le quartier de Centre-ville du Havre 
Le Havre,49.4938975,0.1079732,clear sky,21.51,1698,8.600000381469727,True,Hôtel Barrière Le Normandy Deauville,"Hôtel de luxe à proximité de Plage de Deauville, en liaison directe avec le centre des congrès et disposant d'un spa à soins complets
"
Le Havre,49.4938975,0.1079732,clear sky,21.51,4982483,9.199999809265137,True,Le Grand Pavois,Hôtel au bord de l'eau à Fécamp avec 5 bars de plage et un bar/salon 
Le Havre,49.4938975,0.1079732,clear sky,21.51,2466841,8.600000381469727,True,Hotel Almoria,"Hôtel 3 étoiles avec un bar/salon - Plage de Deauville à 0,9 km"
